parcelNumber,fullAddress,longitude,latitude,distanceFromWarehouseMiles,appraisedValue,yearBuilt,numStories,livingArea,numBedrooms,numFullBaths,numHalfBaths,basement,basementArea
17-19-01-04-000,"3870 FRAZEYSBURG RD, Zanesville OH",-82.03264999999999,39.998384,5.046152203407319,113230,1901,2,1984,3,1,1,YES,992
17-19-01-06-550,"3739 LEASURE CT S, Zanesville OH",-82.033021,39.99481,4.800813843422562,127800,1998,2,1500,3,2,1,NO,0
17-19-01-07-550,"3733 LEASURE CT S, Zanesville OH",-82.032904,39.994771,4.797687383640459,116200,1998,1,1100,2,2,0,NO,0
17-19-01-10-550,"3725 LEASURE CT, Zanesville OH",-82.032691,39.994603,4.785320589722446,127800,1998,2,1500,3,2,1,NO,0
17-19-01-12-550,"3717 LEASURE CT S, Zanesville OH",-82.03246,39.994732,4.7934150250657055,131500,1998,1,1450,3,2,0,NO,0
17-19-01-16-553,"3709 LEASURE CT S, Zanesville OH",-82.032315,39.994447,4.773249426492083,135300,1999,1,1450,3,2,0,NO,0
17-19-01-19-560,"3745 LEASURE CT, Zanesville OH",-82.033259,39.994947,4.811174845334079,116200,1999,1,1100,2,2,0,NO,0
17-19-01-22-555,"3734 LEASURE CT S, Zanesville OH",-82.032473,39.995394,4.839155071545978,127800,2e3,2,1500,3,2,1,NO,0
17-19-01-26-563,"3782 S LEASURE CT, Zanesville OH",-82.03393899999999,39.99542599999999,4.846976780921939,127800,2e3,2,1500,3,2,1,NO,0
17-19-01-30-567,"3766 COLONY HILL DR, Zanesville OH",-82.033709,39.995695,4.86456501435758,141200,2e3,2,1500,3,2,1,NO,0
17-19-01-31-568,"3774 LEASURE CT S, Zanesville OH",-82.033761,39.995607,4.858710702689915,116200,2e3,1,1100,2,2,0,NO,0
17-19-01-33-570,"3718 LEASURE CT S, Zanesville OH",-82.03212599999999,39.9952029,4.824813485135213,141200,2e3,2,1500,3,2,1,NO,0
17-19-01-42-550,"3707 COLONY HILL DR, Zanesville OH",-82.03175399999999,39.995562,4.848457349962221,88500,2004,1,864,2,1,0,NO,0
17-19-01-50-550,"3687 COLONY HILL DR, Zanesville OH",-82.031058,39.995462,4.839612048633658,109700,2004,1,912,2,2,0,NO,0
