parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea,fullAddress,latitude,longitude,distanceFromWarehouseMeters
17-07-01-10-002,1250 FAIRVIEW RD,"$66,100.00",NA,NA,NA,NA,NA,NA,NA,NA,"1250 FAIRVIEW RD, Zanesville OH",40.0078479,-82.0146871,9214.433764557398
17-19-01-04-000,3870 FRAZEYSBURG RD,"$113,230.00",2,1901,3,1,1,1984,YES,992,"3870 FRAZEYSBURG RD, Zanesville OH",39.998384,-82.03264999999999,8120.994771640348
17-19-01-04-003,3721 COLONY HILL DR,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,"3721 COLONY HILL DR, Zanesville OH",39.9955883,-82.032141,7807.6858607448985
17-19-01-06-550,3739 LEASURE CT S,"$127,800.00",2,1998,3,2,1,1500,NO,0,"3739 LEASURE CT S, Zanesville OH",NA,NA,NA
17-19-01-07-550,3733 LEASURE CT S,"$116,200.00",1,1998,2,2,0,1100,NO,0,"3733 LEASURE CT S, Zanesville OH",39.994771,-82.032904,7721.129404737471
17-19-01-10-550,3725 LEASURE CT,"$127,800.00",2,1998,3,2,1,1500,NO,0,"3725 LEASURE CT, Zanesville OH",39.994603,-82.032691,7701.2269791462795
17-19-01-12-550,3717 LEASURE CT S,"$131,500.00",1,1998,3,2,0,1450,NO,0,"3717 LEASURE CT S, Zanesville OH",39.994732,-82.03246,7714.253710099343
17-19-01-16-553,3709 LEASURE CT S,"$135,300.00",1,1999,3,2,0,1450,NO,0,"3709 LEASURE CT S, Zanesville OH",39.994447,-82.032315,7681.8003250284755
17-19-01-19-560,3745 LEASURE CT,"$116,200.00",1,1999,2,2,0,1100,NO,0,"3745 LEASURE CT, Zanesville OH",39.994947,-82.033259,7742.835370289328
17-19-01-22-555,3734 LEASURE CT S,"$127,800.00",2,2000,3,2,1,1500,NO,0,"3734 LEASURE CT S, Zanesville OH",39.995394,-82.032473,7787.865179462091
17-19-01-26-563,3782 S LEASURE CT,"$127,800.00",2,2000,3,2,1,1500,NO,0,"3782 S LEASURE CT, Zanesville OH",39.99542599999999,-82.03393899999999,7800.453000516038
17-19-01-30-567,3766 COLONY HILL DR,"$141,200.00",2,2000,3,2,1,1500,NO,0,"3766 COLONY HILL DR, Zanesville OH",39.995695,-82.033709,7828.758518466285
17-19-01-31-568,3774 LEASURE CT S,"$116,200.00",1,2000,2,2,0,1100,NO,0,"3774 LEASURE CT S, Zanesville OH",39.995607,-82.033761,7819.336917109798
