parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-47-05-14-000,1416 ST JOHN ST,$700.00,,,,,,,,
81-47-05-21-000,1248 DANVILLE ST,"$75,400.00",1,1980,3,1,0,1112,YES,864
81-47-05-22-001,1287 DANVILLE ST,"$24,900.00",1,1901,2,1,0,750,NO,0
81-47-05-23-000,1273 DANVILLE ST,"$46,700.00",1,1939,2,1,1,864,YES,432
81-47-05-24-000,1249 DANVILLE ST,"$34,200.00",1,1901,2,1,0,891,NO,0
81-48-02-03-000,404 FISHER LN,"$1,800.00",,,,,,,,
81-48-02-04-000,432 FISHERS LN,"$2,000.00",,,,,,,,
81-48-02-05-000,438 FISHER LN,$700.00,,,,,,,,
81-49-01-06-000,FISHERS LN,$600.00,,,,,,,,
81-49-01-07-000,FISHERS LN,$700.00,,,,,,,,
