parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-58-01-04-000,1058 WHEELING AVE,"$6,100.00",2,1901,2,1,0,1328,YES,640
81-58-01-12-000,1028 WHEELING AVE,"$1,100.00",,,,,,,,
81-58-02-10-000,969 SILLIMAN ST,"$29,200.00",2,1840,6,4,0,1472,YES,960
81-58-02-20-000,968 GREENWOOD AVE,"$28,600.00",2,1820,6,4,0,3389,YES,1600
81-58-02-24-000,9 MAIN ST,"$617,000.00",,,,,,,,
81-58-02-49-000,1005 SILLIMAN ST,"$83,500.00",2,2004,4,2,0,1420,YES,680
81-58-02-56-000,1027 MAIN ST E,"$81,500.00",2,2004,4,2,0,1440,YES,720
81-58-03-01-000,1040 E MAIN ST,"$1,542,100.00",,,,,,,,
81-58-03-03-000,MAIN ST E,"$6,100.00",,,,,,,,
81-59-01-02-000,1260 WHEELING AVE,"$34,700.00",1,1910,2,1,0,939,YES,294
